Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice
,,,,1906-06-09 12:00,77.921,,,1906-12-11 12:00,258.768,,,1907-06-10 12:00,78.651,,,1907-12-11 12:00,258.522,,,1908-06-09 12:00,78.419,,,1908-12-10 12:00,258.277,,,1909-06-09 12:00,78.183,,,1909-12-10 12:00,258.031,,,1910-06-09 12:00,77.958,,,1910-12-11 12:00,258.805,,,1911-06-10 12:00,78.685,,,1911-12-11 12:00,258.557,,,1912-06-09 12:00,78.454,,,1912-12-10 12:00,258.311,,,1913-06-09 12:00,78.225,,,1913-12-10 12:00,258.067,,,1914-06-09 12:00,77.993,,,1914-12-11 12:00,258.833,,,1915-06-10 12:00,78.725,,,1915-12-11 12:00,258.589,,,1916-06-09 12:00,78.495,,,1916-12-10 12:00,258.345,,,1917-06-09 12:00,78.257,,,1917-12-10 12:00,258.097,,,1918-06-09 12:00,78.028,,,1918-12-11 12:00,258.869,,,1919-06-10 12:00,78.753,,,1919-12-11 12:00,258.62,,,1920-06-09 12:00,78.518,,,1920-12-10 12:00,258.373,,,1921-06-09 12:00,78.287,,,1921-12-10 12:00,258.13,,,1922-06-09 12:00,78.053,,,1922-12-11 12:00,258.894,,,1923-06-10 12:00,78.782,,,1923-12-11 12:00,258.646,,,1924-06-09 12:00,78.552,,,1924-12-10 12:00,258.397,,,1925-06-09 12:00,78.314,,,1925-12-10 12:00,258.145,,,1926-06-09 12:00,78.087,,,1926-12-11 12:00,258.917,,,1927-06-10 12:00,78.814,,,1927-12-11 12:00,258.67,,,1928-06-09 12:00,78.58,,,1928-12-10 12:00,258.424,,,1929-06-09 12:00,78.348,,,1929-12-10 12:00,258.184,,,1930-06-09 12:00,78.115,,,1930-12-10 12:00,257.933,,,1931-06-10 12:00,78.843,,,1931-12-11 12:00,258.705,,,1932-06-09 12:00,78.614,,,1932-12-10 12:00,258.464,,,1933-06-09 12:00,78.38,,,1933-12-10 12:00,258.216,,,1934-06-09 12:00,78.154,,,1934-12-10 12:00,257.973,,,1935-06-09 12:00,77.927,,,1935-12-11 12:00,258.742,,
,,,,1906-06-10 12:00,78.877,,,1906-12-12 12:00,259.785,,,1907-06-11 12:00,79.607,,,1907-12-12 12:00,259.538,,,1908-06-10 12:00,79.375,,,1908-12-11 12:00,259.293,,,1909-06-10 12:00,79.139,,,1909-12-11 12:00,259.048,,,1910-06-10 12:00,78.914,,,1910-12-12 12:00,259.821,,,1911-06-11 12:00,79.64,,,1911-12-12 12:00,259.574,,,1912-06-10 12:00,79.41,,,1912-12-11 12:00,259.328,,,1913-06-10 12:00,79.181,,,1913-12-11 12:00,259.084,,,1914-06-10 12:00,78.949,,,1914-12-12 12:00,259.85,,,1915-06-11 12:00,79.681,,,1915-12-12 12:00,259.606,,,1916-06-10 12:00,79.451,,,1916-12-11 12:00,259.362,,,1917-06-10 12:00,79.212,,,1917-12-11 12:00,259.114,,,1918-06-10 12:00,78.985,,,1918-12-12 12:00,259.886,,,1919-06-11 12:00,79.708,,,1919-12-12 12:00,259.636,,,1920-06-10 12:00,79.474,,,1920-12-11 12:00,259.39,,,1921-06-10 12:00,79.243,,,1921-12-11 12:00,259.147,,,1922-06-10 12:00,79.008,,,1922-12-12 12:00,259.91,,,1923-06-11 12:00,79.738,,,1923-12-12 12:00,259.663,,,1924-06-10 12:00,79.507,,,1924-12-11 12:00,259.414,,,1925-06-10 12:00,79.27,,,1925-12-11 12:00,259.162,,,1926-06-10 12:00,79.044,,,1926-12-12 12:00,259.934,,,1927-06-11 12:00,79.77,,,1927-12-12 12:00,259.686,,,1928-06-10 12:00,79.536,,,1928-12-11 12:00,259.441,,,1929-06-10 12:00,79.304,,,1929-12-11 12:00,259.2,,,1930-06-10 12:00,79.07,,,1930-12-11 12:00,258.949,,,1931-06-11 12:00,79.799,,,1931-12-12 12:00,259.722,,,1932-06-10 12:00,79.57,,,1932-12-11 12:00,259.48,,,1933-06-10 12:00,79.336,,,1933-12-11 12:00,259.232,,,1934-06-10 12:00,79.11,,,1934-12-11 12:00,258.99,,,1935-06-10 12:00,78.883,,,1935-12-12 12:00,259.758,,
,,,,1906-06-11 12:00,79.832,,,1906-12-13 12:00,260.803,,,1907-06-12 12:00,80.563,,,1907-12-13 12:00,260.555,,,1908-06-11 12:00,80.33,,,1908-12-12 12:00,260.31,,,1909-06-11 12:00,80.095,,,1909-12-12 12:00,260.065,,,1910-06-11 12:00,79.87,,,1910-12-13 12:00,260.838,,,1911-06-12 12:00,80.596,,,1911-12-13 12:00,260.591,,,1912-06-11 12:00,80.365,,,1912-12-12 12:00,260.346,,,1913-06-11 12:00,80.137,,,1913-12-12 12:00,260.1,,,1914-06-11 12:00,79.904,,,1914-12-13 12:00,260.867,,,1915-06-12 12:00,80.637,,,1915-12-13 12:00,260.623,,,1916-06-11 12:00,80.406,,,1916-12-12 12:00,260.379,,,1917-06-11 12:00,80.168,,,1917-12-12 12:00,260.131,,,1918-06-11 12:00,79.941,,,1918-12-13 12:00,260.902,,,1919-06-12 12:00,80.664,,,1919-12-13 12:00,260.653,,,1920-06-11 12:00,80.429,,,1920-12-12 12:00,260.408,,,1921-06-11 12:00,80.199,,,1921-12-12 12:00,260.163,,,1922-06-11 12:00,79.964,,,1922-12-13 12:00,260.928,,,1923-06-12 12:00,80.694,,,1923-12-13 12:00,260.68,,,1924-06-11 12:00,80.463,,,1924-12-12 12:00,260.431,,,1925-06-11 12:00,80.225,,,1925-12-12 12:00,260.179,,,1926-06-11 12:00,80.0,,,1926-12-13 12:00,260.951,,,1927-06-12 12:00,80.725,,,1927-12-13 12:00,260.703,,,1928-06-11 12:00,80.491,,,1928-12-12 12:00,260.459,,,1929-06-11 12:00,80.26,,,1929-12-12 12:00,260.217,,,1930-06-11 12:00,80.026,,,1930-12-12 12:00,259.966,,,1931-06-12 12:00,80.755,,,1931-12-13 12:00,260.739,,,1932-06-11 12:00,80.526,,,1932-12-12 12:00,260.497,,,1933-06-11 12:00,80.291,,,1933-12-12 12:00,260.249,,,1934-06-11 12:00,80.066,,,1934-12-12 12:00,260.007,,,1935-06-11 12:00,79.839,,,1935-12-13 12:00,260.775,,
,,,,1906-06-12 12:00,80.788,,,1906-12-14 12:00,261.821,,,1907-06-13 12:00,81.518,,,1907-12-14 12:00,261.573,,,1908-06-12 12:00,81.285,,,1908-12-13 12:00,261.327,,,1909-06-12 12:00,81.05,,,1909-12-13 12:00,261.083,,,1910-06-12 12:00,80.826,,,1910-12-14 12:00,261.855,,,1911-06-13 12:00,81.551,,,1911-12-14 12:00,261.608,,,1912-06-12 12:00,81.321,,,1912-12-13 12:00,261.363,,,1913-06-12 12:00,81.092,,,1913-12-13 12:00,261.117,,,1914-06-12 12:00,80.859,,,1914-12-14 12:00,261.885,,,1915-06-13 12:00,81.593,,,1915-12-14 12:00,261.64,,,1916-06-12 12:00,81.361,,,1916-12-13 12:00,261.396,,,1917-06-12 12:00,81.123,,,1917-12-13 12:00,261.149,,,1918-06-12 12:00,80.897,,,1918-12-14 12:00,261.919,,,1919-06-13 12:00,81.619,,,1919-12-14 12:00,261.67,,,1920-06-12 12:00,81.385,,,1920-12-13 12:00,261.425,,,1921-06-12 12:00,81.154,,,1921-12-13 12:00,261.18,,,1922-06-12 12:00,80.919,,,1922-12-14 12:00,261.945,,,1923-06-13 12:00,81.65,,,1923-12-14 12:00,261.698,,,1924-06-12 12:00,81.418,,,1924-12-13 12:00,261.448,,,1925-06-12 12:00,81.18,,,1925-12-13 12:00,261.196,,,1926-06-12 12:00,80.956,,,1926-12-14 12:00,261.968,,,1927-06-13 12:00,81.68,,,1927-12-14 12:00,261.72,,,1928-06-12 12:00,81.447,,,1928-12-13 12:00,261.476,,,1929-06-12 12:00,81.216,,,1929-12-13 12:00,261.234,,,1930-06-12 12:00,80.981,,,1930-12-13 12:00,260.983,,,1931-06-13 12:00,81.711,,,1931-12-14 12:00,261.757,,,1932-06-12 12:00,81.481,,,1932-12-13 12:00,261.514,,,1933-06-12 12:00,81.246,,,1933-12-13 12:00,261.267,,,1934-06-12 12:00,81.022,,,1934-12-13 12:00,261.024,,,1935-06-12 12:00,80.794,,,1935-12-14 12:00,261.792,,
,,,,1906-06-13 12:00,81.743,,,1906-12-15 12:00,262.839,,,1907-06-14 12:00,82.474,,,1907-12-15 12:00,262.59,,,1908-06-13 12:00,82.24,,,1908-12-14 12:00,262.345,,,1909-06-13 12:00,82.005,,,1909-12-14 12:00,262.101,,,1910-06-13 12:00,81.782,,,1910-12-15 12:00,262.872,,,1911-06-14 12:00,82.506,,,1911-12-15 12:00,262.626,,,1912-06-13 12:00,82.277,,,1912-12-14 12:00,262.381,,,1913-06-13 12:00,82.047,,,1913-12-14 12:00,262.134,,,1914-06-13 12:00,81.815,,,1914-12-15 12:00,262.903,,,1915-06-14 12:00,82.549,,,1915-12-15 12:00,262.658,,,1916-06-13 12:00,82.316,,,1916-12-14 12:00,262.413,,,1917-06-13 12:00,82.079,,,1917-12-14 12:00,262.166,,,1918-06-13 12:00,81.853,,,1918-12-15 12:00,262.937,,,1919-06-14 12:00,82.574,,,1919-12-15 12:00,262.688,,,1920-06-13 12:00,82.341,,,1920-12-14 12:00,262.443,,,1921-06-13 12:00,82.109,,,1921-12-14 12:00,262.197,,,1922-06-13 12:00,81.874,,,1922-12-15 12:00,262.963,,,1923-06-14 12:00,82.605,,,1923-12-15 12:00,262.715,,,1924-06-13 12:00,82.373,,,1924-12-14 12:00,262.465,,,1925-06-13 12:00,82.136,,,1925-12-14 12:00,262.214,,,1926-06-13 12:00,81.911,,,1926-12-15 12:00,262.985,,,1927-06-14 12:00,82.635,,,1927-12-15 12:00,262.737,,,1928-06-13 12:00,82.402,,,1928-12-14 12:00,262.494,,,1929-06-13 12:00,82.171,,,1929-12-14 12:00,262.251,,,1930-06-13 12:00,81.936,,,1930-12-14 12:00,262.0,,,1931-06-14 12:00,82.666,,,1931-12-15 12:00,262.774,,,1932-06-13 12:00,82.436,,,1932-12-14 12:00,262.531,,,1933-06-13 12:00,82.201,,,1933-12-14 12:00,262.284,,,1934-06-13 12:00,81.978,,,1934-12-14 12:00,262.041,,,1935-06-13 12:00,81.749,,,1935-12-15 12:00,262.809,,
,,,,1906-06-14 12:00,82.698,,,1906-12-16 12:00,263.857,,,1907-06-15 12:00,83.429,,,1907-12-16 12:00,263.607,,,1908-06-14 12:00,83.195,,,1908-12-15 12:00,263.362,,,1909-06-14 12:00,82.961,,,1909-12-15 12:00,263.118,,,1910-06-14 12:00,82.737,,,1910-12-16 12:00,263.89,,,1911-06-15 12:00,83.46,,,1911-12-16 12:00,263.644,,,1912-06-14 12:00,83.232,,,1912-12-15 12:00,263.399,,,1913-06-14 12:00,83.002,,,1913-12-15 12:00,263.151,,,1914-06-14 12:00,82.77,,,1914-12-16 12:00,263.921,,,1915-06-15 12:00,83.504,,,1915-12-16 12:00,263.675,,,1916-06-14 12:00,83.271,,,1916-12-15 12:00,263.43,,,1917-06-14 12:00,83.034,,,1917-12-15 12:00,263.184,,,1918-06-14 12:00,82.808,,,1918-12-16 12:00,263.954,,,1919-06-15 12:00,83.528,,,1919-12-16 12:00,263.706,,,1920-06-14 12:00,83.296,,,1920-12-15 12:00,263.461,,,1921-06-14 12:00,83.064,,,1921-12-15 12:00,263.214,,,1922-06-14 12:00,82.829,,,1922-12-16 12:00,263.981,,,1923-06-15 12:00,83.56,,,1923-12-16 12:00,263.733,,,1924-06-14 12:00,83.328,,,1924-12-15 12:00,263.482,,,1925-06-14 12:00,83.091,,,1925-12-15 12:00,263.232,,,1926-06-14 12:00,82.867,,,1926-12-16 12:00,264.002,,,1927-06-15 12:00,83.59,,,1927-12-16 12:00,263.755,,,1928-06-14 12:00,83.357,,,1928-12-15 12:00,263.512,,,1929-06-14 12:00,83.126,,,1929-12-15 12:00,263.268,,,1930-06-14 12:00,82.891,,,1930-12-15 12:00,263.018,,,1931-06-15 12:00,83.622,,,1931-12-16 12:00,263.792,,,1932-06-14 12:00,83.391,,,1932-12-15 12:00,263.548,,,1933-06-14 12:00,83.156,,,1933-12-15 12:00,263.302,,,1934-06-14 12:00,82.934,,,1934-12-15 12:00,263.058,,,1935-06-14 12:00,82.704,,,1935-12-16 12:00,263.827,,
,,,,1906-06-15 12:00,83.653,,,1906-12-17 12:00,264.875,,,1907-06-16 12:00,84.384,,,1907-12-17 12:00,264.625,,,1908-06-15 12:00,84.149,,,1908-12-16 12:00,264.38,,,1909-06-15 12:00,83.916,,,1909-12-16 12:00,264.137,,,1910-06-15 12:00,83.692,,,1910-12-17 12:00,264.907,,,1911-06-16 12:00,84.415,,,1911-12-17 12:00,264.662,,,1912-06-15 12:00,84.187,,,1912-12-16 12:00,264.417,,,1913-06-15 12:00,83.957,,,1913-12-16 12:00,264.169,,,1914-06-15 12:00,83.724,,,1914-12-17 12:00,264.939,,,1915-06-16 12:00,84.459,,,1915-12-17 12:00,264.693,,,1916-06-15 12:00,84.225,,,1916-12-16 12:00,264.448,,,1917-06-15 12:00,83.989,,,1917-12-16 12:00,264.202,,,1918-06-15 12:00,83.763,,,1918-12-17 12:00,264.971,,,1919-06-16 12:00,84.483,,,1919-12-17 12:00,264.724,,,1920-06-15 12:00,84.251,,,1920-12-16 12:00,264.479,,,1921-06-15 12:00,84.019,,,1921-12-16 12:00,264.232,,,1922-06-15 12:00,83.784,,,1922-12-17 12:00,264.999,,,1923-06-16 12:00,84.516,,,1923-12-17 12:00,264.75,,,1924-06-15 12:00,84.282,,,1924-12-16 12:00,264.5,,,1925-06-15 12:00,84.046,,,1925-12-16 12:00,264.25,,,1926-06-15 12:00,83.822,,,1926-12-17 12:00,265.02,,,1927-06-16 12:00,84.544,,,1927-12-17 12:00,264.773,,,1928-06-15 12:00,84.313,,,1928-12-16 12:00,264.53,,,1929-06-15 12:00,84.081,,,1929-12-16 12:00,264.285,,,1930-06-15 12:00,83.846,,,1930-12-16 12:00,264.036,,,1931-06-16 12:00,84.577,,,1931-12-17 12:00,264.81,,,1932-06-15 12:00,84.346,,,1932-12-16 12:00,264.566,,,1933-06-15 12:00,84.111,,,1933-12-16 12:00,264.32,,,1934-06-15 12:00,83.889,,,1934-12-16 12:00,264.076,,,1935-06-15 12:00,83.659,,,1935-12-17 12:00,264.845,,
,,,,1906-06-16 12:00,84.608,,,1906-12-18 12:00,265.894,,,1907-06-17 12:00,85.339,,,1907-12-18 12:00,265.642,,,1908-06-16 12:00,85.103,,,1908-12-17 12:00,265.398,,,1909-06-16 12:00,84.871,,,1909-12-17 12:00,265.155,,,1910-06-16 12:00,84.646,,,1910-12-18 12:00,265.925,,,1911-06-17 12:00,85.37,,,1911-12-18 12:00,265.68,,,1912-06-16 12:00,85.143,,,1912-12-17 12:00,265.435,,,1913-06-16 12:00,84.911,,,1913-12-17 12:00,265.187,,,1914-06-16 12:00,84.679,,,1914-12-18 12:00,265.958,,,1915-06-17 12:00,85.414,,,1915-12-18 12:00,265.71,,,1916-06-16 12:00,85.18,,,1916-12-17 12:00,265.466,,,1917-06-16 12:00,84.944,,,1917-12-17 12:00,265.221,,,1918-06-16 12:00,84.718,,,1918-12-18 12:00,265.989,,,1919-06-17 12:00,85.437,,,1919-12-18 12:00,265.742,,,1920-06-16 12:00,85.206,,,1920-12-17 12:00,265.497,,,1921-06-16 12:00,84.974,,,1921-12-17 12:00,265.249,,,1922-06-16 12:00,84.738,,,1922-12-18 12:00,266.018,,,1923-06-17 12:00,85.471,,,1923-12-18 12:00,265.768,,,1924-06-16 12:00,85.236,,,1924-12-17 12:00,265.518,,,1925-06-16 12:00,85.001,,,1925-12-17 12:00,265.269,,,1926-06-16 12:00,84.777,,,1926-12-18 12:00,266.037,,,1927-06-17 12:00,85.499,,,1927-12-18 12:00,265.791,,,1928-06-16 12:00,85.268,,,1928-12-17 12:00,265.548,,,1929-06-16 12:00,85.036,,,1929-12-17 12:00,265.303,,,1930-06-16 12:00,84.801,,,1930-12-17 12:00,265.054,,,1931-06-17 12:00,85.532,,,1931-12-18 12:00,265.828,,,1932-06-16 12:00,85.3,,,1932-12-17 12:00,265.583,,,1933-06-16 12:00,85.066,,,1933-12-17 12:00,265.339,,,1934-06-16 12:00,84.844,,,1934-12-17 12:00,265.093,,,1935-06-16 12:00,84.614,,,1935-12-18 12:00,265.863,,
,,,,1906-06-17 12:00,85.563,,,1906-12-19 12:00,266.912,,,1907-06-18 12:00,86.293,,,1907-12-19 12:00,266.66,,,1908-06-17 12:00,86.058,,,1908-12-18 12:00,266.416,,,1909-06-17 12:00,85.826,,,1909-12-18 12:00,266.173,,,1910-06-17 12:00,85.601,,,1910-12-19 12:00,266.943,,,1911-06-18 12:00,86.324,,,1911-12-19 12:00,266.699,,,1912-06-17 12:00,86.097,,,1912-12-18 12:00,266.453,,,1913-06-17 12:00,85.866,,,1913-12-18 12:00,266.204,,,1914-06-17 12:00,85.634,,,1914-12-19 12:00,266.976,,,1915-06-18 12:00,86.368,,,1915-12-19 12:00,266.728,,,1916-06-17 12:00,86.134,,,1916-12-18 12:00,266.484,,,1917-06-17 12:00,85.899,,,1917-12-18 12:00,266.239,,,1918-06-17 12:00,85.673,,,1918-12-19 12:00,267.007,,,1919-06-18 12:00,86.392,,,1919-12-19 12:00,266.76,,,1920-06-17 12:00,86.161,,,1920-12-18 12:00,266.515,,,1921-06-17 12:00,85.928,,,1921-12-18 12:00,266.267,,,1922-06-17 12:00,85.693,,,1922-12-19 12:00,267.036,,,1923-06-18 12:00,86.425,,,1923-12-19 12:00,266.786,,,1924-06-17 12:00,86.191,,,1924-12-18 12:00,266.536,,,1925-06-17 12:00,85.955,,,1925-12-18 12:00,266.287,,,1926-06-17 12:00,85.732,,,1926-12-19 12:00,267.055,,,1927-06-18 12:00,86.453,,,1927-12-19 12:00,266.809,,,1928-06-17 12:00,86.223,,,1928-12-18 12:00,266.566,,,1929-06-17 12:00,85.99,,,1929-12-18 12:00,266.32,,,1930-06-17 12:00,85.755,,,1930-12-18 12:00,266.073,,,1931-06-18 12:00,86.487,,,1931-12-19 12:00,266.846,,,1932-06-17 12:00,86.255,,,1932-12-18 12:00,266.601,,,1933-06-17 12:00,86.021,,,1933-12-18 12:00,266.357,,,1934-06-17 12:00,85.799,,,1934-12-18 12:00,266.111,,,1935-06-17 12:00,85.568,,,1935-12-19 12:00,266.881,,
,,,,1906-06-18 12:00,86.518,,,1906-12-20 12:00,267.931,,,1907-06-19 12:00,87.248,,,1907-12-20 12:00,267.678,,,1908-06-18 12:00,87.012,,,1908-12-19 12:00,267.435,,,1909-06-18 12:00,86.781,,,1909-12-19 12:00,267.191,,,1910-06-18 12:00,86.555,,,1910-12-20 12:00,267.961,,,1911-06-19 12:00,87.278,,,1911-12-20 12:00,267.718,,,1912-06-18 12:00,87.052,,,1912-12-19 12:00,267.471,,,1913-06-18 12:00,86.82,,,1913-12-19 12:00,267.223,,,1914-06-18 12:00,86.589,,,1914-12-20 12:00,267.995,,,1915-06-19 12:00,87.323,,,1915-12-20 12:00,267.746,,,1916-06-18 12:00,87.088,,,1916-12-19 12:00,267.502,,,1917-06-18 12:00,86.854,,,1917-12-19 12:00,267.257,,,1918-06-18 12:00,86.627,,,1918-12-20 12:00,268.025,,,1919-06-19 12:00,87.346,,,1919-12-20 12:00,267.779,,,1920-06-18 12:00,87.116,,,1920-12-19 12:00,267.533,,,1921-06-18 12:00,86.882,,,1921-12-19 12:00,267.285,,,1922-06-18 12:00,86.648,,,1922-12-20 12:00,268.055,,,1923-06-19 12:00,87.38,,,1923-12-20 12:00,267.804,,,1924-06-18 12:00,87.145,,,1924-12-19 12:00,267.554,,,1925-06-18 12:00,86.91,,,1925-12-19 12:00,267.306,,,1926-06-18 12:00,86.686,,,1926-12-20 12:00,268.073,,,1927-06-19 12:00,87.407,,,1927-12-20 12:00,267.828,,,1928-06-18 12:00,87.178,,,1928-12-19 12:00,267.585,,,1929-06-18 12:00,86.945,,,1929-12-19 12:00,267.338,,,1930-06-18 12:00,86.71,,,1930-12-19 12:00,267.091,,,1931-06-19 12:00,87.442,,,1931-12-20 12:00,267.864,,,1932-06-18 12:00,87.209,,,1932-12-19 12:00,267.619,,,1933-06-18 12:00,86.975,,,1933-12-19 12:00,267.376,,,1934-06-18 12:00,86.753,,,1934-12-19 12:00,267.129,,,1935-06-18 12:00,86.522,,,1935-12-20 12:00,267.899,,
,,,,1906-06-19 12:00,87.472,,,1906-12-21 12:00,268.949,,,1907-06-20 12:00,88.202,,,1907-12-21 12:00,268.696,,,1908-06-19 12:00,87.966,,,1908-12-20 12:00,268.454,,,1909-06-19 12:00,87.735,,,1909-12-20 12:00,268.21,,,1910-06-19 12:00,87.509,,,1910-12-21 12:00,268.979,,,1911-06-20 12:00,88.233,,,1911-12-21 12:00,268.737,,,1912-06-19 12:00,88.007,,,1912-12-20 12:00,268.489,,,1913-06-19 12:00,87.774,,,1913-12-20 12:00,268.241,,,1914-06-19 12:00,87.543,,,1914-12-21 12:00,269.014,,,1915-06-20 12:00,88.277,,,1915-12-21 12:00,268.764,,,1916-06-19 12:00,88.042,,,1916-12-20 12:00,268.521,,,1917-06-19 12:00,87.809,,,1917-12-20 12:00,268.276,,,1918-06-19 12:00,87.581,,,1918-12-21 12:00,269.043,,,1919-06-20 12:00,88.3,,,1919-12-21 12:00,268.798,,,1920-06-19 12:00,88.071,,,1920-12-20 12:00,268.551,,,1921-06-19 12:00,87.836,,,1921-12-20 12:00,268.303,,,1922-06-19 12:00,87.602,,,1922-12-21 12:00,269.074,,,1923-06-20 12:00,88.334,,,1923-12-21 12:00,268.823,,,1924-06-19 12:00,88.098,,,1924-12-20 12:00,268.573,,,1925-06-19 12:00,87.865,,,1925-12-20 12:00,268.325,,,1926-06-19 12:00,87.641,,,1926-12-21 12:00,269.091,,,1927-06-20 12:00,88.361,,,1927-12-21 12:00,268.846,,,1928-06-19 12:00,88.132,,,1928-12-20 12:00,268.603,,,1929-06-19 12:00,87.899,,,1929-12-20 12:00,268.356,,,1930-06-19 12:00,87.664,,,1930-12-20 12:00,268.11,,,1931-06-20 12:00,88.397,,,1931-12-21 12:00,268.882,,,1932-06-19 12:00,88.163,,,1932-12-20 12:00,268.638,,,1933-06-19 12:00,87.93,,,1933-12-20 12:00,268.395,,,1934-06-19 12:00,87.708,,,1934-12-20 12:00,268.147,,,1935-06-19 12:00,87.476,,,1935-12-21 12:00,268.918,,
,,,,1906-06-20 12:00,88.427,,,1906-12-22 12:00,269.968,,,1907-06-21 12:00,89.156,,,1907-12-22 12:00,269.715,,,1908-06-20 12:00,88.92,,,1908-12-21 12:00,269.473,,,1909-06-20 12:00,88.69,,,1909-12-21 12:00,269.228,,,1910-06-20 12:00,88.463,,,1910-12-22 12:00,269.998,,,1911-06-21 12:00,89.187,,,1911-12-22 12:00,269.756,,,1912-06-20 12:00,88.961,,,1912-12-21 12:00,269.507,,,1913-06-20 12:00,88.728,,,1913-12-21 12:00,269.26,,,1914-06-20 12:00,88.498,,,1914-12-22 12:00,270.032,,,1915-06-21 12:00,89.231,,,1915-12-22 12:00,269.783,,,1916-06-20 12:00,88.996,,,1916-12-21 12:00,269.54,,,1917-06-20 12:00,88.763,,,1917-12-21 12:00,269.294,,,1918-06-20 12:00,88.535,,,1918-12-22 12:00,270.061,,,1919-06-21 12:00,89.255,,,1919-12-22 12:00,269.817,,,1920-06-20 12:00,89.025,,,1920-12-21 12:00,269.569,,,1921-06-20 12:00,88.79,,,1921-12-21 12:00,269.322,,,1922-06-20 12:00,88.556,,,1922-12-22 12:00,270.093,,,1923-06-21 12:00,89.288,,,1923-12-22 12:00,269.841,,,1924-06-20 12:00,89.052,,,1924-12-21 12:00,269.592,,,1925-06-20 12:00,88.819,,,1925-12-21 12:00,269.343,,,1926-06-20 12:00,88.595,,,1926-12-22 12:00,270.11,,,1927-06-21 12:00,89.315,,,1927-12-22 12:00,269.865,,,1928-06-20 12:00,89.087,,,1928-12-21 12:00,269.621,,,1929-06-20 12:00,88.853,,,1929-12-21 12:00,269.374,,,1930-06-20 12:00,88.619,,,1930-12-21 12:00,269.129,,,1931-06-21 12:00,89.351,,,1931-12-22 12:00,269.9,,,1932-06-20 12:00,89.116,,,1932-12-21 12:00,269.656,,,1933-06-20 12:00,88.884,,,1933-12-21 12:00,269.413,,,1934-06-20 12:00,88.662,,,1934-12-21 12:00,269.165,,,1935-06-20 12:00,88.43,,,1935-12-22 12:00,269.937,,
